"","numRente","result"
"117","117.2","Sour 3 maisons Watier Trepiel et sour tous les tenemens, ki sient entre le tenement Watier Boine Broke, d'une part, et le tenement Margritain de Fierin, d'autre part, 3 fertons, aprés le fons de le tiere.  "
"118","118.3","Sour 2 maisons Gillion de Le Cambe et sour tous les tenemens, ki sient entre le tenement maistre Jehan le Toilier, d'une part, et le tenement celui Gillion, de se grande maison, d'autre part, aprés le fons de le tiere, 3 fertons.   "
"119","119.1","Sour le grande maison Gillion de Le Cambe et sour tout le tenement, et sour le maison Jehan le Sohier et sour tout le tenement, ki fu Bricoul, ki sient entre le rue de Canteleu, d'une part, et le tenement Hielotain le Laniere, ki fu Watier Roussiel, d'autre part, apriés le fons de le tiere, 1 marc. "
"120","120.2","Sour 2 maisons Robiert le Cangeur et sour tous les tenemens, ki furent Jehan Delatre, ki sient entre le tenement Hielotain le Laniere, d'une part, et le tenement Eubert Le Leu ki fu, d'autre part, aprés le fons de le tiere, 6 mars. "
"121","121.3","Sour le maison Colart le Bourgois et sour tout le tenement, ki fu Sohier de Mastaing, ki siet entre le tenement Marien le Renberhiere, d'une part, et le tenement Watier Porte Esteule, d'autre part, aprés le fons de le tiere, demi marc.  "
"122","122.4","Sour le maison Ysabiel Langoisseuse et sour tout le tenement, ki fu Rogier de Saulomes, ki siet entre le tenement les enfans Jakemon Painmollié ki fu, d'une part, et le tenement Jakemon Painmollié ki fu, d'autre part, 1 marc, et 6 s. douysiens et 6 capons, dou fons de le tiere. "
"123","123.5","Sour le maison Williaume de Biaumont et sour tout le tenement, ki siet entre le tenement Jehan de Mieregnies, ki fu Caukesel, d'une part, et le tenement Climent le Tondeur. ki fu Ghillain Masenghe, d'autre part, aprés le fons de le tiere, 3 mars. "
"124","124.6","Sour 2 maisons Climent le Tondeur et sour tous les tenemens, ki furent Ghillain Masenghe, ki sient entre le tenement Williaume de Biaumont, d'une part, et le tenement Colart Debous, ki fu Symon Buee, d'autre part, aprés le fons de le tiere, 2 mars.   "
"125","125.1","Sour le maison Colart le Bourgois et sour tout le tenement, ki siet entre le tenement Agniés Dou Brekin, d'une part, et le tenement Mgr Sauwalon de Vregelai, d'autre part, ki fu Adam le Linnier, aprés le fons de le tiere, 1/2 marc. "
"126","126.2","Sour le maison Mgr Sauwalon de Vregelai et sour tout le tenement, ki fu Adam le Linnier, ki siet entre le tenement Colart le Bourgois, d'une part et le tenement Jakemon Cavete, ki fu Kennon le Wantier, d'autre part, marc et 1/2, aprés le fons de le tiere. Si fu li 1/2 marc Jakemon Pourciel. "
"127","127.3","Sour 3 maisons Jakemon Cavete et sour tous les tenemens, ki furent Kennon le Wantier, ki sient entre le tenement Mgr Sauwalon de Vregelai, d'une part, et le ruiele dou Brekin, d'autre part, aprés le fons de le tiere, 1 marc. Si fu li uns 1/2 Jakemon Pourciel et li autres 1/2 Foukier Leureus. "
"128","128.4","Sour le maison Estievenon Chevalier, et sour le porte de le Nueville et sour tout le tenement, ki siet entre le ruiele dou Brekin, d'une part, et le porte de le Nuevile, d'autre part, 5 mars et 1/2. Si fu li marc et 1/2 Jakemon Porciel. Si sont, de le maison Colart Bourgois dusques a le porte de le Nuevile, tout d'un tenement et furent Robiert Dou Brekin.   "
